Type of needs;Physiological needs;Physiological needs;Physiological needs;Physiological needs;Safety needs;Safety needs;Safety needs;Love and belonging needs;Esteem needs;Esteem needs;Esteem needs
Cities;People living in extreme poverty;Child Mortality Rate;People with access to inappropriate;Life expectancy at birth;Unemployment Rate;Degree of formality at work;Homicide Rate;Gini Index;Illiteracy Rate;Expected years of schooling;Per capita income
Objective;Minimize;Minimize;Minimize;Maximize;Minimize;Maximize;Minimize;Minimize;Minimize;Maximize;Maximize
Angra dos Reis;2,0300;12,9700;0,5600;75,7500;8,1700;71,3800;38,9910;0,5000;5,1300;9,0000;798,6800
Aperibé;2,3300;18,4000;0,2700;72,1000;4,5400;41,8500;0,0000;0,4300;10,6000;8,9500;516,1400
Araruama;3,6800;14,1800;2,7000;75,3200;10,6000;53,2400;31,2422;0,5400;7,4100;8,8400;680,8800
Areal;3,4400;15,0000;0,4900;74,3500;9,2400;58,2100;0,0000;0,4800;7,2900;9,2100;571,7400
Armação dos Búzios;0,1100;14,8000;1,2200;74,4400;5,7200;53,9500;4,7207;0,5100;4,5600;9,0900;851,3900
Arraial do Cabo;1,1400;16,5000;2,9300;73,3100;9,7100;55,9800;72,0202;0,4700;4,5500;9,4900;714,4700
Barra do Piraí;2,2500;15,3000;1,7500;74,1400;10,0100;68,4000;10,5424;0,5100;4,4800;9,1500;719,1600
Barra Mansa;1,4400;14,9100;0,4700;74,1400;8,2300;71,3400;2,0241;0,4800;3,9400;9,4200;705,1000
Belford Roxo;3,3100;16,5400;2,9800;73,5000;9,9900;61,9200;45,8167;0,4200;4,9700;8,8800;491,5100
Bom Jardim;2,5500;16,1000;1,3800;73,5600;3,3900;59,4000;1,5749;0,4800;10,7400;8,2500;649,6200
Bom Jesus do Itabapoana;3,4100;15,2000;0,0600;74,1600;8,5400;59,5800;56,5227;0,5600;9,7600;9,4500;717,6900
Cabo Frio;2,3500;15,4100;4,9800;75,1600;8,9400;57,3800;48,8664;0,5400;5,0200;8,6100;815,7500
Cachoeiras de Macacu;2,5900;16,4300;2,7100;74,0100;10,0200;55,1900;91,9625;0,4900;9,3100;8,7300;604,4500
Cambuci;3,0500;16,2000;2,7900;73,5100;7,3200;44,8500;0,0000;0,4700;12,6900;9,5000;524,8800
Campos dos Goytacazes;3,6700;14,7200;5,2300;74,8200;10,1900;64,6600;42,0671;0,5500;6,8500;8,5000;682,5900
Cantagalo;1,4100;15,1000;3,1500;74,2900;3,6600;65,0700;3,5307;0,4800;9,4200;8,7300;641,6100
Carapebus;1,9300;16,5000;1,9800;73,3000;12,0700;60,7000;74,9176;0,4200;8,4200;9,0700;620,3500
Cardoso Moreira;3,7100;18,6000;2,4300;71,9300;8,4400;50,3500;39,8724;0,4500;15,2000;7,5800;465,0400
Carmo;1,7300;15,8000;0,0000;73,7700;7,8600;62,9100;0,0000;0,4700;9,9100;8,2400;559,6600
Casimiro de Abreu;1,1800;16,0000;0,1200;73,6400;8,1400;59,9100;16,9621;0,4800;6,9800;9,0400;768,4500
Comendador Levy Gasparian;1,0900;18,4000;0,2200;72,1100;10,7600;72,0900;0,0000;0,4400;7,3600;9,2500;537,6600
Conceição de Macabu;4,3300;16,4000;1,1200;73,3800;9,2300;59,8000;23,5849;0,4800;9,7300;9,1500;614,5700
Cordeiro;1,1200;14,7000;3,0400;74,5400;6,6000;71,5300;98,0248;0,4800;5,8400;9,1500;724,2900
Duas Barras;1,1900;17,9000;1,1900;72,3900;4,0600;49,1100;18,2932;0,4400;11,7300;8,4000;540,3500
